workunit,workunit_id,project,project_id,collect_start,collect_end,ql,spec,p_method,dem_gsd_meters,horiz_crs,vert_crs,geoid,lpc_pub_date,lpc_update,lpc_category,lpc_reason,sourcedem_pub_date,sourcedem_update,sourcedem_category,sourcedem_reason,onemeter_category,onemeter_reason,seamless_category,seamless_reason,lpc_link,sourcedem_link,metadata_link
MN_Phase1_LeSueurCO_2010,2839,Minnesota_River_Basin_LiDAR_Legacy_Data,2824,2010/04/08,2010/11/19,QL 3,Other,linear-mode lidar,3,"26915","5703",GEOID03,2016/02/18,,Does not meet,LPC predates v.1.0 or draft LBS,2016/02/19,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1_LeSueurCO_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1-LeSueurCO_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Minnesota_River_Basin_LiDAR/MN_Phase1-LeSueurCO_2010
MN_Phase1_LacQuiParleCo_2010,2837,Minnesota_River_Basin_LiDAR_Legacy_Data,2824,2010/04/08,2010/11/19,QL 3,Other,linear-mode lidar,3,"26915","5703",GEOID03,2016/02/19,,Does not meet,LPC predates v.1.0 or draft LBS,2016/02/12,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1_LacQuiParleCo_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1-LacQuiParleCo_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Minnesota_River_Basin_LiDAR/MN_Phase1-LacQuiParleCo_2010
MN_Phase1_PopeCO_2011,2855,Minnesota_River_Basin_LiDAR_Legacy_Data,2824,2010/04/08,2010/11/19,QL 3,Other,linear-mode lidar,3,"26915","5703",GEOID03,2016/03/09,,Does not meet,LPC predates v.1.0 or draft LBS,2016/03/14,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1_PopeCO_2011,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1-PopeCO_2011,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Minnesota_River_Basin_LiDAR/MN_Phase1-PopeCO_2011
MN_Phase1_WatonwanCO_2010,2867,Minnesota_River_Basin_LiDAR_Legacy_Data,2824,2010/04/08,2010/11/19,QL 3,Other,linear-mode lidar,3,"26915","5703",GEOID03,2016/02/17,,Does not meet,LPC predates v.1.0 or draft LBS,2016/02/19,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1_WatonwanCO_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1-WatonwanCO_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Minnesota_River_Basin_LiDAR/MN_Phase1-WatonwanCO_2010
MN_SIBLEYCO_2010,2863,Minnesota_River_Basin_LiDAR_Legacy_Data,2824,2010/04/08,2011/11/19,Other,Other,linear-mode lidar,3,"26915",Unknown,GEOID03,2013/05/13,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/MN_SIBLEYCO_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/MN_SIBLEYCO_2010
MN_RENVILLECO_2010,2859,Minnesota_River_Basin_LiDAR_Legacy_Data,2824,2010/04/08,2011/11/19,Other,Other,linear-mode lidar,3,"26915",Unknown,GEOID03,2013/05/10,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/MN_RENVILLECO_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/MN_RENVILLECO_2010
MN_Phase1_YellowMedicineCO_2010,2871,Minnesota_River_Basin_LiDAR_Legacy_Data,2824,2010/04/08,2010/11/19,QL 3,Other,linear-mode lidar,3,"26915","5703",GEOID03,2016/02/26,,Does not meet,LPC predates v.1.0 or draft LBS,2016/02/29,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1_YellowMedicineCO_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1-YellowMedicineCO_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Minnesota_River_Basin_LiDAR/MN_Phase1-YellowMedicineCO_2010
MN_Phase1_Nobles_2010,2851,Minnesota_River_Basin_LiDAR_Legacy_Data,2824,2010/04/08,2010/11/10,QL 3,Other,linear-mode lidar,3,"26915","5703",GEOID03,2016/02/26,,Does not meet,LPC predates v.1.0 or draft LBS,2016/02/29,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1_Nobles_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Minnesota_River_Basin_LiDAR/MN_Phase1-Nobles_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Minnesota_River_Basin_LiDAR/MN_Phase1-Nobles_2010
AR_TN_NRCS_SHARKEY_2010,-1136,AR_TN_NRCS_SHARKEY_2010_Legacy_Data,-11360,2010/04/09,2010/04/15,Other,Other,linear-mode lidar,3,"26916",Unknown,GEOID03,2012/08/09,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/AR_TN_NRCS_SHARKEY_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/AR-TN_NRCS_SHARKEY_2010
KS_COFFEY_2010,-1352,KS_COFFEY_2010_Legacy_Data,-13520,2010/04/10,2010/04/17,Other,Other,linear-mode lidar,3,"26915","5703",Unknown,2012/08/13,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/KS_COFFEY_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/KS_COFFEY_2010
ARRA_NRCS_ILLINOIS_2010,-1119,ARRA_NRCS_ILLINOIS_2010_Legacy_Data,-11190,2010/04/10,2010/04/13,Other,Other,linear-mode lidar,3,"26916","5703",GEOID09,2012/04/23,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_NRCS_ILLINOIS_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-NRCS_ILLINOIS_2010
ARRA_NRCS_KENTUCKY_2010,-1120,ARRA_NRCS_KENTUCKY_2010_Legacy_Data,-11200,2010/04/10,2010/04/13,Other,Other,linear-mode lidar,3,"26916","5703",GEOID09,2012/05/03,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_NRCS_KENTUCKY_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-NRCS_KENTUCKY_2010
MO_JASPERCO_2010,-1443,MO_JASPERCO_2010_Legacy_Data,-14430,2010/04/11,2010/04/13,Other,Other,linear-mode lidar,3,"102698",Unknown,Unknown,2012/10/18,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/MO_JASPERCO_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/MO_JASPERCO_2010
ARRA_AL_TENNESSEERIVER_2010,-1086,ARRA_AL_TENNESSEERIVER_2010_Legacy_Data,-10860,2010/04/13,2010/05/07,Other,Other,linear-mode lidar,3,"26916","5703",GEOID09,2012/04/25,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_AL_TENNESSEERIVER_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-AL_TENNESSEERIVER_2010
MO_COLE_CALLAWAY_OSAGE_2010,-1436,MO_COLE_CALLAWAY_OSAGE_2010_Legacy_Data,-14360,2010/04/14,2010/05/07,Other,Other,linear-mode lidar,3,"102697",Unknown,Unknown,2012/10/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/MO_COLE_CALLAWAY_OSAGE_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/MO_COLE-CALLAWAY-OSAGE_2010
ARRA_IN_FLOOD_2010,-1103,ARRA_IN_FLOOD_2010_Legacy_Data,-11030,2010/04/14,2010/04/14,Other,Other,linear-mode lidar,,"26916",Unknown,GEOID09,2012/04/30,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_IN_FLOOD_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-IN_FLOOD_2010
ARRA_FL_UPPERSTJOHNSRIVER_2010,-1099,ARRA_FL_UPPERSTJOHNSRIVER_2010_Legacy_Data,-10990,2010/04/15,2010/04/26,Other,Other,linear-mode lidar,,"2881",Unknown,Unknown,2012/05/21,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_FL_UPPERSTJOHNSRIVER_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-FL_UPPERSTJOHNSRIVER_2010
NE_NIROC_PAPIOCO_2010,-1481,NE_NIROC_PAPIOCO_2010_Legacy_Data,-14810,2010/04/16,2010/04/28,Other,Other,linear-mode lidar,3,"26852","6360",GEOID09,2012/10/17,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/NE_NIROC_PAPIOCO_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/NE_NIROC-PAPIOCO_2010
ARRA_WI_OCONTOCO_2010,-1134,ARRA_WI_OCONTOCO_2010_Legacy_Data,-11340,2010/04/17,2010/04/17,Other,Other,linear-mode lidar,,"8142","6360",GEOID09,2014/03/31,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_WI_OCONTOCO_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-WI_OCONTOCO_2010
ARRA_WI_BROWNCO_2010,-1133,ARRA_WI_BROWNCO_2010_Legacy_Data,-11330,2010/04/17,2010/04/17,Other,Other,linear-mode lidar,3,"8213","6360",Unknown,2014/04/01,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_WI_BROWNCO_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-WI_BROWNCO_2010
KS_POTTAWATOMIECO_2010,-1381,KS_POTTAWATOMIECO_2010_Legacy_Data,-13810,2010/04/19,2011/03/10,Other,Other,linear-mode lidar,3,"26914","5703",Unknown,2012/08/14,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/KS_POTTAWATOMIECO_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/KS_POTTAWATOMIECO_2010
KS_MARSHALLCO_2010,-1373,KS_MARSHALLCO_2010_Legacy_Data,-13730,2010/04/19,2011/03/10,Other,Other,linear-mode lidar,3,"26914","5703",Unknown,2012/08/13,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/KS_MARSHALLCO_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/KS_MARSHALLCO_2010
ARRA_NE_PLATTERIVER_2010,-1117,ARRA_NE_PLATTERIVER_2010_Legacy_Data,-11170,2010/04/21,2010/05/03,Other,Other,linear-mode lidar,3,"26913","6360",GEOID09,2014/01/24,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_NE_PLATTERIVER_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-NE_PLATTERIVER_2010
ARRA_CA_GOLDENGATE_2010,-1091,ARRA_CA_GOLDENGATE_2010_Legacy_Data,-10910,2010/04/23,2010/07/14,Other,Other,linear-mode lidar,3,"26910","5703",Unknown,2012/06/26,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_CA_GOLDENGATE_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-CA_GOLDENGATE_2010
AK_FAIRBANKS_NSBOROUGH_2010,-1003,AK_FAIRBANKS_NSBOROUGH_2010_Legacy_Data,-10030,2010/05/04,2010/05/06,Other,Other,linear-mode lidar,3,"102663",Unknown,GEOID09,2012/10/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/AK_FAIRBANKS_NSBOROUGH_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/AK_FAIRBANKS-NSBOROUGH_2010
ARRA_MI_LOWERPENINSULA_2010,-1114,ARRA_MI_LOWERPENINSULA_2010_Legacy_Data,-11140,2010/05/09,2010/05/25,Other,Other,linear-mode lidar,3,"26917","5703",GEOID09,2013/04/24,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_MI_LOWERPENINSULA_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-MI_LOWERPENINSULA_2010
VT_MISSISQUOI_2010,-1682,VT_MISSISQUOI_2010_Legacy_Data,-16820,2010/05/13,2010/05/17,Other,Other,linear-mode lidar,3,"32154",Unknown,Unknown,2012/09/11,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/VT_MISSISQUOI_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/VT_MISSISQUOI_2010
WY_CASPER_2010,-1708,WY_CASPER_2010_Legacy_Data,-17080,2010/05/27,2010/06/02,Other,Other,linear-mode lidar,3,"3737","6360",Unknown,2012/09/26,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WY_CASPER_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WY_CASPER_2010
OR_NEWBERRY_2010,-1537,OR_NEWBERRY_2010_Legacy_Data,-15370,2010/05/28,2010/07/27,Other,Other,linear-mode lidar,3,"2992","6360",GEOID03,2012/08/23,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NEWBERRY_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/OR_NEWBERRY_2010
OR_DESCHUTES_NEWBERRY_CRATER_OLC_2010,-1526,OR_DESCHUTES_NEWBERRY_CRATER_OLC_2010_Legacy_Data,-15260,2010/05/28,2010/07/27,Other,Other,linear-mode lidar,3,"2994","6360",GEOID03,2012/12/17,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_DESCHUTES_NEWBERRY_CRATER_OLC_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/OR_DESCHUTES_NEWBERRY_CRATER_OLC_2010
NV_LASVEGASVALLEY_2010,-1498,NV_LASVEGASVALLEY_2010_Legacy_Data,-14980,2010/06/08,2010/06/09,Other,Other,linear-mode lidar,,"32611","6360",GEOID03,2012/09/12,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/NV_LASVEGASVALLEY_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/NV_LASVEGASVALLEY_2010
ARRA_CA_SANFRANCOAST_2010,-1092,ARRA_CA_SANFRANCOAST_2010_Legacy_Data,-10920,2010/06/11,2010/07/11,Other,Other,linear-mode lidar,3,"26910","5703",GEOID09,2012/05/01,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_CA_SANFRANCOAST_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-CA_SANFRANCOAST_2010
MT_BitterrootNF_2010,2712,Montana_USFS_Region_1_LiDAR,2714,2010/06/24,2010/08/09,QL 1,Other,linear-mode lidar,3.28,"32100","6360",GEOID03,2016/06/09,,Does not meet,LPC predates v.1.0 or draft LBS,2016/06/10,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Montana_USFS_Region_1_LiDAR/MT_BitterrootNF_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Montana_USFS_Region_1_LiDAR/MT_BitterrootNF_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Montana_USFS_Region_1_LiDAR/MT_BitterrootNF_2010
CA_SHASTA_2010,-1174,CA_SHASTA_2010_Legacy_Data,-11740,2010/07/05,2010/09/02,Other,Other,linear-mode lidar,3,"26910","5703",GEOID03,2012/07/16,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SHASTA_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SHASTA_2010
AK_IFSAR_Sum_L4_C353_2010,67828,Alaska_Mid_Accuracy_DEM_Summer_2015,33609,2010/07/10,2012/09/08,QL 5,Other,Ifsar,5,NAD_1983_CORS96_Alaska_Albers,"5703",GEOID09,,,Not Applicable,Not Applicable,2017/04/28,,Meets,Meets 3DEP source DEM requirements - IfSAR AK,Does not meet,Non-lidar source,Meets,Meets 3DEP seamless DEM requirements,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Alaska_Mid_Accuracy_DEM_Summer_2015/AK_IFSAR_Sum_L4_C353_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Alaska_Mid_Accuracy_DEM_Summer_2015/AK_IFSAR_Sum_L4_C353_2010
AK_IFSAR_Sum_L4_C352_2010,67816,Alaska_Mid_Accuracy_DEM_Summer_2015,33609,2010/07/10,2012/09/08,QL 5,Other,Ifsar,5,NAD_1983_CORS96_Alaska_Albers,"5703",GEOID09,,,Not Applicable,Not Applicable,2017/04/11,,Meets,Meets 3DEP source DEM requirements - IfSAR AK,Does not meet,Non-lidar source,Meets,Meets 3DEP seamless DEM requirements,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/OPR/Projects/Alaska_Mid_Accuracy_DEM_Summer_2015/AK_IFSAR-Sum-L4-C352_2010,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/Alaska_Mid_Accuracy_DEM_Summer_2015/AK_IFSAR_Sum_L4_C352_2010
OR_MALHEUR_USFS_2010,-1536,OR_MALHEUR_USFS_2010_Legacy_Data,-15360,2010/07/27,2010/08/19,Other,Other,linear-mode lidar,,"26911","5703",GEOID03,2013/02/13,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_MALHEUR_USFS_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/OR_MALHEUR_USFS_2010
ARRA_CO_GRANDCO_2010,-1093,ARRA_CO_GRANDCO_2010_Legacy_Data,-10930,2010/08/02,2010/08/02,Other,Other,linear-mode lidar,3,"26913","5703",GEOID09,2012/04/30,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_CO_GRANDCO_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-CO_GRANDCO_2010
CA_NV_LAKETAHOE_2010,2724,Lake_Tahoe_Basin_LiDAR_Legacy_Data,2726,2010/08/11,2010/08/24,Other,Other,linear-mode lidar,3,"26910","5703",GEOID09,2013/05/09,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_NV_LAKETAHOE_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA-NV_LAKETAHOE_2010
ARRA_CA_CENTRALCOAST_Z4_2010,-1088,ARRA_CA_CENTRALCOAST_Z4_2010_Legacy_Data,-10880,2010/08/17,2010/09/14,Other,Other,linear-mode lidar,3,"2228","6360",GEOID03,2012/05/23,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ARRA_CA_CENTRALCOAST_Z4_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ARRA-CA_CENTRALCOAST-Z4_2010
OR_CRATERLAKE_2010,-1523,OR_CRATERLAKE_2010_Legacy_Data,-15230,2010/08/23,2010/09/05,Other,Other,linear-mode lidar,3,"2992","6360",GEOID03,2012/08/20,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_CRATERLAKE_2010,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/OR_CRATERLAKE_2010
